month_year_date,type,total_positives,total_tests
2021-01-01,PCR,5240,145307
2021-02-01,PCR,5785,111327
2021-03-01,Antigen,3117,12920
2021-03-01,PCR,25886,177594
2021-04-01,Antigen,3283,20665
2021-04-01,PCR,22648,159436
2021-05-01,Antigen,1843,13897
2021-05-01,PCR,10159,127893
2021-06-01,Antigen,3223,22322
2021-06-01,PCR,10636,124968
2021-07-01,Antigen,6452,34476
2021-07-01,PCR,13155,138061
2021-08-01,Antigen,17278,82461
2021-08-01,PCR,16217,157018
2021-09-01,Antigen,7512,57538
2021-09-01,PCR,6534,130782
2021-10-01,Antigen,2058,32167
2021-10-01,PCR,2072,116729
2021-11-01,Antigen,833,21523
2021-11-01,PCR,980,108975
2021-12-01,Antigen,330,7267
2021-12-01,PCR,249,20225
