week_year_date,type,total_positives,total_tests
2020-12-27,PCR,267,6169
2021-01-03,PCR,1800,35542
2021-01-10,PCR,1138,38496
2021-01-17,PCR,980,31175
2021-01-24,PCR,944,30186
2021-01-31,PCR,1117,26733
2021-02-07,PCR,1233,28398
2021-02-14,PCR,1329,24015
2021-02-21,PCR,1871,32638
2021-02-28,Antigen,3,7
2021-02-28,PCR,2900,32443
2021-03-07,Antigen,212,775
2021-03-07,PCR,4337,35738
2021-03-14,Antigen,491,1946
2021-03-14,PCR,7034,42901
2021-03-21,Antigen,1535,6456
2021-03-21,PCR,7970,47586
2021-03-28,Antigen,1372,6079
2021-03-28,PCR,7594,42172
2021-04-04,Antigen,1028,5309
2021-04-04,PCR,6252,40830
2021-04-11,Antigen,755,4990
2021-04-11,PCR,5480,36932
2021-04-18,Antigen,546,4281
2021-04-18,PCR,4770,37057
2021-04-25,Antigen,527,4449
2021-04-25,PCR,3217,29702
2021-05-02,Antigen,381,3494
2021-05-02,PCR,3172,36178
2021-05-09,Antigen,367,2861
2021-05-09,PCR,1849,23518
2021-05-16,Antigen,471,3474
2021-05-16,PCR,2332,31896
2021-05-23,Antigen,514,3036
2021-05-23,PCR,1920,26466
2021-05-30,Antigen,354,2270
2021-05-30,PCR,1514,21778
2021-06-06,Antigen,487,3861
2021-06-06,PCR,2451,29366
2021-06-13,Antigen,802,5725
2021-06-13,PCR,2977,31250
2021-06-20,Antigen,979,6840
2021-06-20,PCR,2738,31848
2021-06-27,Antigen,1186,8392
2021-06-27,PCR,2081,29467
2021-07-04,Antigen,1032,7910
2021-07-04,PCR,2048,26417
2021-07-11,Antigen,1222,5905
2021-07-11,PCR,2832,31601
2021-07-18,Antigen,1295,7027
2021-07-18,PCR,3145,30322
2021-07-25,Antigen,2359,9193
2021-07-25,PCR,4217,35766
2021-08-01,Antigen,3669,15406
2021-08-01,PCR,4445,36699
2021-08-08,Antigen,4548,22770
2021-08-08,PCR,4608,41017
2021-08-15,Antigen,4779,21366
2021-08-15,PCR,3816,36663
2021-08-22,Antigen,3663,19729
2021-08-22,PCR,2664,33213
2021-08-29,Antigen,2846,15769
2021-08-29,PCR,2323,31596
2021-09-05,Antigen,1983,13734
2021-09-05,PCR,1945,31005
2021-09-12,Antigen,1488,12975
2021-09-12,PCR,1446,30547
2021-09-19,Antigen,1246,11709
2021-09-19,PCR,899,27776
2021-09-26,Antigen,924,10104
2021-09-26,PCR,890,28673
2021-10-03,Antigen,570,7263
2021-10-03,PCR,492,26381
2021-10-10,Antigen,476,7545
2021-10-10,PCR,505,24756
2021-10-17,Antigen,337,7545
2021-10-17,PCR,419,26860
2021-10-24,Antigen,315,5960
2021-10-24,PCR,358,26620
2021-10-31,Antigen,286,6640
2021-10-31,PCR,237,26821
2021-11-07,Antigen,182,4617
2021-11-07,PCR,292,27492
2021-11-14,Antigen,173,4623
2021-11-14,PCR,252,23064
2021-11-21,Antigen,109,4509
2021-11-21,PCR,148,25320
2021-11-28,Antigen,218,4901
2021-11-28,PCR,262,23288
2021-12-05,Antigen,199,3791
2021-12-05,PCR,51,5938
